Text,Actual Sentiment,Predicted Sentiment,Confidence
according gran company plans move production russia although company growing,neutral,neutral,0.81576043
technopolis plans develop stages area less square meters order host companies working computer technologies telecommunications statement said,neutral,neutral,0.9039534
international electronic industry company elcoteq laid tens employees tallinn facility contrary earlier layoffs company contracted ranks office workers daily postimees reported,negative,negative,0.9514532
new production plant company would increase capacity meet expected increase demand would improve use raw materials therefore increase production profitability,positive,positive,0.94989926
according company updated strategy years basware targets long term net sales growth range operating profit margin net sales,positive,neutral,0.5683849
financing aspocomp growth aspocomp aggressively pursuing growth strategy increasingly focusing technologically demanding hdi printed circuit boards pcbs,positive,positive,0.6729907
last quarter componenta net sales doubled eur eur period year earlier moved zero pre tax profit pre tax loss eur,positive,positive,0.82648736
third quarter net sales increased eur mn operating profit eur mn,positive,positive,0.9514978
operating profit rose eur mn eur mn corresponding period representing net sales,positive,positive,0.9554445
operating profit totalled eur mn eur mn representing net sales,positive,neutral,0.8279245
teliasonera tlsn said offer line strategy increase ownership core business holdings would strengthen eesti telekom offering customers,positive,positive,0.94668704
stora enso norske skog real upm kymmene credit suisse first boston cfsb raised fair value shares four largest nordic forestry groups,positive,positive,0.51561725
purchase agreement tons gasoline delivery hamina terminal finland signed neste oil oyj average platts index september plus eight us dollars per month,positive,positive,0.6662839
finnish talentum reports operating profit increased eur mn eur mn net sales totaled eur mn eur mn,positive,positive,0.946347
clothing retail chain sepp l sales increased eur mn operating profit rose eur mn eur mn,positive,positive,0.954385
consolidated net sales increased reach eur operating profit amounted eur compared loss eur prior year period,positive,positive,0.9581637
foundries division reports sales increased eur mn eur mn corresponding period sales machine shop division increased eur mn eur mn corresponding period,positive,positive,0.92969364
helsinki afx shares closed higher led nokia announced plans team sanyo manufacture g handsets nokian tyres fourth quarter earnings report beat analysts expectations dealers said,positive,positive,0.9510059
incap contract manufacturing services pvt ltd subsidiary incap corporation finland plans double revenues,positive,neutral,0.89873517
board directors propose dividend eur per share eur per share paid,positive,neutral,0.94294304
lifetree founded revenues risen average margins late,positive,positive,0.9364445
filippova trilateral agreement investment construction technology park st petersburg signed course forum days russian economy opened helsinki today,positive,neutral,0.822848
megafon subscriber base increased million users december market share number customers amounted late late according teliasonera estimates,positive,positive,0.9376131
net income life insurance doubled eur mn eur mn net income non life insurance rose eur mn eur mn corresponding period,positive,positive,0.9274023
net sales increased eur eur pretax profit rose eur eur usd,positive,positive,0.9539975
net sales surged eur teleste said eur sales came acquisitions made,positive,neutral,0.8025221
nordea group operating profit increased percent year year billion euros total revenue percent billion euros,positive,positive,0.73203874
operating profit nine month period increased eur net sales increased eur compared corresponding period,positive,positive,0.938263
operating profit nine month period increased eur net sales increased eur compared corresponding period,positive,positive,0.938263
