Headline,Sentiment,Confidence,Impact Score
Tesla Unveils Fully Autonomous Taxi Fleet Stock Soars 20%,positive,0.9298408,97.63328433036804
"Bitcoin Hits $150,000 Amid Growing Institutional Adoption",positive,0.917123,96.29791706800461
"Amazon Enters Healthcare Industry, Disrupting Traditional Medicine",negative,0.9511822,95.11821866035461
Google s Quantum AI Outperforms Supercomputers for Financial Trading,positive,0.90188974,94.69842284917831
Stock Market Experiences Largest Single-Day Crash in 10 Years,negative,0.93844616,93.84461641311646
Global Oil Prices Surge After Supply Chain Disruptions,negative,0.92957425,92.95742511749268
"Ethereum Surpasses $10,000 as DeFi Boom Continues",positive,0.8316024,87.31825143098831
Gold Prices Skyrocket as Investors Seek Safe Haven Assets,negative,0.85610455,85.61045527458191
US Fed Cuts Interest Rates to 2% to Combat Recession Fears,negative,0.753518,75.35179853439331
Dubai Introduces Crypto-Based Real Estate Transactions,neutral,0.9182799,27.548396587371826
"Elon Musk's Neuralink Begins Human Trials, Stock Value Rises",neutral,0.76244956,22.873486876487732
"Meta's AI Glasses Replace Smartphones, Changing Tech Landscape",neutral,0.7560847,22.68254041671753
"Apple Announces AI-Powered iPhone, Revolutionizing Mobile Tech",neutral,0.7223083,21.669248342514038
Saudi Arabia Launches World's Largest Green Hydrogen Project,neutral,0.52573144,15.77194333076477
China Overtakes US as World's Largest Economy,neutral,0.52563775,15.769132375717163
