Text,Actual Sentiment,Predicted Sentiment,Confidence,Impact Score
sales security system packaging increased slightly,positive,positive,0.96079004,96.079004
commission income increased eur mn lending volume rose,positive,positive,0.96058947,96.05894699999999
net interest income increased eur mn eur mn,positive,positive,0.959944,95.9944
favourable currency rates also contributed higher net sales ceo kari kauniskangas said,positive,positive,0.9593996,95.93996
sanoma magazines finland net sales grew eur mn eur mn,positive,positive,0.95939267,95.939267
operating income rose eur mn eur mn,positive,positive,0.9591137,95.91136999999999
cargo volume increased approximately,positive,positive,0.9590104,95.90104000000001
upm deliveries increased third quarter percent efficiency operations improved chief executive jussi pesonen said,positive,positive,0.9588987,95.88987
net sales finnish food industry company l nnen tehtaat continuing operations increased eur mn eur mn,positive,positive,0.9586736,95.86736
third quarter net sales increased year year eur comparable currency rates growth,positive,positive,0.9586688,95.86688
passenger related revenue rose eur mn eur mn,positive,positive,0.95861614,95.86161399999999
q bank land net interest income increased eur mn eur mn,positive,positive,0.95842534,95.842534
according atria president ceo matti tikkakoski company swedish operations significantly improved first quarter,positive,positive,0.9584124,95.84124
third quarter net sales increased year year eur million comparable currency rates growth,positive,positive,0.9583422,95.83422
operating profit rose eur million,positive,positive,0.9582506,95.82506
finnish kci konecranes raised net sales growth estimate,positive,positive,0.95824677,95.82467700000001
consolidated net sales increased reach eur operating profit amounted eur compared loss eur prior year period,positive,positive,0.9581637,95.81636999999999
operating profit increased eur mn eur mn,positive,positive,0.95806277,95.806277
clothing chain sepp l net sales increased eur mn,positive,positive,0.95798445,95.798445
cash flow operations rose eur mn eur mn,positive,positive,0.95789105,95.78910499999999
net sales vegetable oil business rose eur mn eur mn,positive,positive,0.95784795,95.784795
dutch broker noted nokian tyres reported good first quarter line consensus,positive,positive,0.9578069,95.78069
operating profit improved er mn eur mn,positive,positive,0.9577238,95.77238
international sales rose eur mn,positive,positive,0.9576981,95.76981
operating profit asian plants grew markedly,positive,positive,0.9576935,95.76935
operating profit rose eur mn eur mn,positive,positive,0.95765746,95.765746
operating profit rose eur mn eur mn,positive,positive,0.95765746,95.765746
operating profit rose eur mn eur mn,positive,positive,0.95765746,95.765746
operating profit rose eur mn eur mn,positive,positive,0.95765746,95.765746
talentum expects net sales core business increase compared,positive,positive,0.9576161,95.76160999999999
operating profit rose eur mn eur corresponding period,positive,positive,0.95740145,95.740145
commission income rose eur mn eur mn,positive,positive,0.9573818,95.73818
operating profit grain trading increased eur mn eur mn,positive,positive,0.9573548,95.73548
pretax profit rose eur mn eur corresponding period,positive,positive,0.9572048,95.72048
affecto expects net sales whole increase level reached eur million,positive,positive,0.9571155,95.71155
kone net sales rose year year first nine months,positive,positive,0.9570597,95.70597
finnish financial group aktia operating profit increased eur mn eur mn,positive,positive,0.9570199,95.70199000000001
pretax profit group life insurance business increased eur eur,positive,positive,0.95697385,95.697385
pretax profit rose eur mn eur mn,positive,positive,0.9569672,95.69672
circulation revenue increased finland sweden,positive,positive,0.9569121,95.69121
pretax profit rose eur mn eur mn corresponding period,positive,positive,0.9567656,95.67656
operating profit improved eur mn,positive,positive,0.9566182,95.66181999999999
operating profit net sales month period increased respectively eur eur compared,positive,positive,0.9565225,95.65225000000001
operating profit net sales month period increased respectively eur eur compared,positive,positive,0.9565225,95.65225000000001
vacon cash flow operations grew eur mn eur mn year ago,positive,positive,0.95632017,95.632017
january september group net interest income increased eur mn eur mn january september,positive,positive,0.9562869,95.62869
reporting period company operating profit grew eur million,positive,positive,0.95628166,95.62816600000001
following last year good profit development entered current year good position,positive,positive,0.95623577,95.623577
operating profit rose eur mn eur mn corresponding period,positive,positive,0.9561872,95.61872
operating profit rose eur mn eur mn corresponding period,positive,positive,0.9561872,95.61872
operating profit rose eur mn eur mn corresponding period,positive,positive,0.9561872,95.61872
operating profit rose eur mn eur mn corresponding period,positive,positive,0.9561872,95.61872
operating profit rose eur mn eur mn corresponding period,positive,positive,0.9561872,95.61872
operating profit rose eur mn eur mn corresponding period,positive,positive,0.9561872,95.61872
current year raute expects net sales increase operating result positive,positive,positive,0.9560679,95.60679
stora enso third quarter pre tax profit doubled eur mn,positive,positive,0.9559738,95.59738
profit period increased eur mn eur mn,positive,positive,0.95587033,95.587033
significant sales increase russia,positive,positive,0.9558443,95.58443
company anticipates turnover whole surpass previous year eur million,positive,positive,0.9558381,95.58381
operating profit rose eur mn eur mn fourth quarter,positive,positive,0.95578104,95.578104
january september finnlines net sales rose eur mn eur mn corresponding period,positive,positive,0.95545304,95.545304
operating profit rose eur mn eur mn corresponding period representing net sales,positive,positive,0.9554445,95.54445
nordea sees return positive growth baltic countries,positive,positive,0.95542103,95.542103
acquisition considerably increase kemira sales market position russian metal industry coatings market,positive,positive,0.95542,95.542
net sales rose year year eur number chargers delivered went million pieces,positive,positive,0.9553515,95.53515
net sales surged eur million,positive,positive,0.9550517,95.50516999999999
olvi expects sales market share increase first quarter,positive,positive,0.95499474,95.49947399999999
alma media expects net sales increase forecast previously,positive,positive,0.95482486,95.482486
however sales returned growth april june ceo pekka eloholma said,positive,positive,0.9547378,95.47377999999999
basware product sales grew strongly financial period percent,positive,positive,0.95473075,95.473075
company estimates net sales increase considerably operating result clearly positive,positive,positive,0.9546612,95.46612
department store sales improved eur mn,positive,positive,0.9546608,95.46607999999999
passenger volumes rose accounting period,positive,positive,0.9546235,95.46235
oriola kd expects invoicing higher comparable invoicing,positive,positive,0.9545027,95.45027
pretax profit group life insurance business increased eur million eur million,positive,positive,0.9544872,95.44872
earnings per share eps rose eur eur,positive,positive,0.9544635,95.44635
july september yit net sales increased eur mn compared eur mn corresponding period,positive,positive,0.9544369,95.44369
clothing retail chain sepp l sales increased eur mn operating profit rose eur mn eur mn,positive,positive,0.954385,95.4385
first nine months company net profit rose eur eur corresponding period,positive,positive,0.9543765,95.43764999999999
company also estimates already carried investments lead increase net sales reached eur million,positive,positive,0.9542389,95.42389
value firm forestry holdings increased sek bn,positive,positive,0.9542196,95.42196
standardised services met positive reception among customers well itella,positive,positive,0.9542179,95.42179
second quarter group net profit rose eur million eur million april june,positive,positive,0.9542044,95.42044
adp news nov finnish electronic measurement products solutions maker vaisala oyj omx vaias said today net profit rose eur million usd first nine months eur,positive,positive,0.9542012,95.42012
adp news feb finnish fishing tackle company rapala vmc corp hel rap v said today net profit rose eur million usd eur million,positive,positive,0.95415354,95.415354
lithuania operating profit rose eur eur corresponding period,positive,positive,0.95411545,95.411545
efficiency improvement measures january finnish stationery gift retailer tiimari hel tii v said today continue improve operational efficiency focusing profitable core operations,positive,positive,0.9540214,95.40214
